,name,latitude,longitude,store_id
156,Huntingdon Supercenter,35.997828,-88.43735,7f728000-5949-48a3-abe0-43dfec9c973a
157,Nacogdoches Supercenter,31.650027,-94.652353,6fb4dc09-0e89-4427-8059-273f077e7306
158,Pontotoc Supercenter,34.285602,-89.021349,eb78234c-557e-4220-85a5-4eccbf5375b1
159,Henderson Supercenter,32.130652,-94.802126,11d84c5a-85d3-4501-82e8-f6a0329f693f
160,Houston Supercenter,37.313756,-91.962661,237e0834-ba7c-4db4-b68b-dfb8a1178c2a
161,Owasso Supercenter,36.295227,-95.837899,9367b2a3-cb9d-434d-88e7-1caded104658
162,Natchitoches Supercenter,31.750245,-93.066686,51131c8a-fd7d-4e84-92fa-69b4da1d8d4c
163,Crossett Supercenter,33.136229,-91.941957,805c5c1f-c9e1-4b8b-a360-0f677f362529
164,Lonoke Supercenter,34.805224,-91.894037,53daf551-490c-41ac-a7f2-1b42a16a3e32
165,Camden Supercenter,33.567239,-92.836856,7825e80a-25f6-4538-a166-52d3bb371966
166,Potosi Supercenter,37.92381,-90.771606,52980f7b-75fa-4098-a0b5-b82877bb308b
167,Washington Supercenter,38.5404591,-90.9952384,04e7b832-00f8-4da4-8539-58ba1297bffb
168,Collierville Supercenter,35.048344,-89.68099,7ba1f81f-4004-4fa5-84ef-b6a3c04c690c
169,Cocoa Supercenter,28.395378,-80.753116,6166921d-948a-4a24-a1ab-117b21d4a7ef
170,Ripley Store,34.72373,-88.950897,33c1a4ba-298c-4fd0-a98a-4e35de1a11cd
171,Paris Supercenter,36.281103,-88.307919,16810797-85e7-47fa-8f71-fadd19715159
172,Alva Supercenter,36.79952,-98.645026,1a1d1b8c-b9de-4f5b-8778-fc4aea0e35be
173,Springfield Supercenter,37.180349,-93.352393,63c0cdad-fc40-4e22-acd9-54725fabb37d
174,Greenville Supercenter,33.3678514,-91.0438728,edc7e8fc-b5db-43a2-8704-d187d6e24ffa
175,New Boston Supercenter,33.470693,-94.403621,d0270646-2c07-4461-a2d1-676340492e84
176,Gainesville Supercenter,33.645646,-97.13596,cb7942d8-7cd4-4264-82e0-251180e8cddd
177,Blue Springs Supercenter,39.024151,-94.25503,70a80986-9711-4909-bf95-f88fa099e426
178,Jacksonville Supercenter,31.951409,-95.266334,491b1bbf-d42e-4973-8085-b3c66232d3ef
179,Louisville Supercenter,33.122255,-89.08271,aeb97cd4-dc9f-4b4a-9eb1-c44945344bda
180,El Dorado Supercenter,37.814622,-96.892174,26677c6f-5498-41f0-b378-77b06c863656
181,Cape Girardeau Supercenter,37.30124,-89.585833,4227aaab-ae1f-4766-b620-236ace932c21
182,Kirksville Supercenter,40.216711,-92.579522,724210fa-1928-4e9e-9df7-ff6b31c8fd9d
183,Baytown Supercenter,29.7763429,-94.9743933,67eda133-3166-439b-9d89-57b787f14fe3
184,Excelsior Springs Supercenter,39.329466,-94.265105,dd9168de-d40f-48f3-8abf-3214317c7d69
185,Columbia Supercenter,35.5989735,-87.0513091,630fdccc-8a06-4a26-bf76-a3b382f92fdf
186,Carbondale Supercenter,37.738565,-89.186886,22116c03-a6b7-4c16-bd1a-5fcd2540f317
