,name,state,latitude,longitude
183,Baytown Supercenter,TX,29.7763429,-94.9743933
184,Excelsior Springs Supercenter,MO,39.329466,-94.265105
185,Columbia Supercenter,TN,35.5989735,-87.0513091
186,Carbondale Supercenter,IL,37.738565,-89.186886
187,Kennett Supercenter,MO,36.238808,-90.037563
188,Salem Supercenter,IL,38.625999,-88.98129
189,Lincoln Supercenter,IL,40.154263,-89.398031
190,Macomb Supercenter,IL,40.461079,-90.641514
191,Belleville Supercenter,IL,38.522079,-89.922955
192,Princeton Supercenter,KY,37.11071,-87.918332
193,Jacksonville Supercenter,IL,39.71992,-90.270971
194,Mckinney Supercenter,TX,33.222075,-96.629963
195,Brookfield Supercenter,MO,39.767807,-93.072718
196,Philadelphia Supercenter,MS,32.7675247,-89.1275641
197,Cleveland Supercenter,OK,36.297466,-96.463165
198,Ozark Store,AR,35.503711,-93.84385
199,Holdenville Store,OK,35.088093,-96.381422
200,Hillsboro Supercenter,TX,32.004274,-97.099919
201,Litchfield Supercenter,IL,39.185505,-89.668379
202,Jasper Supercenter,TX,30.908235,-94.015462
203,Norman Supercenter,OK,35.221587,-97.481153
204,Selmer Supercenter,TN,35.1396272,-88.5742543
205,Lewisville Supercenter,TX,33.047228,-97.013954
206,Sedalia Supercenter,MO,38.706715,-93.270907
207,Marion Supercenter,IL,37.748171,-88.971464
208,Yukon Supercenter,OK,35.490376,-97.763836
209,Mount Vernon Supercenter,IL,38.309085,-88.958411
210,Burleson Supercenter,TX,32.527749,-97.337823
211,Sparta Supercenter,IL,38.1414384,-89.7017327
212,Sulphur Supercenter,OK,34.5038374,-97.0041868
213,Atlanta Supercenter,TX,33.115504,-94.184857
214,El Reno Supercenter,OK,35.511165,-97.976009
215,Trumann Supercenter,AR,35.681492,-90.549868
216,Cleburne Supercenter,TX,32.341355,-97.41514
217,Ada Supercenter,OK,34.789127,-96.65614
218,Paris Store,AR,35.293369,-93.716195
219,Anna Supercenter,IL,37.461908,-89.222998
220,Atoka Store,OK,34.3662191,-96.1426364
221,Kansas City Supercenter,MO,39.243164,-94.459216
222,Pulaski Supercenter,TN,35.201555,-87.060372
223,Commerce Supercenter,TX,33.234935,-95.914764
224,Rogers Gas Station,AR,36.280919,-94.151696
225,Kosciusko Supercenter,MS,33.0549039,-89.5669509
226,Crockett Supercenter,TX,31.320306,-95.434461
227,Harrisburg Supercenter,IL,37.7282525,-88.532915
228,Paola Supercenter,KS,38.573605,-94.857295
229,Winnfield Supercenter,LA,31.950346,-92.656886
230,Wentzville Supercenter,MO,38.814137,-90.879016
231,Crowley Gas Station,TX,32.576633,-97.336527
232,Henryetta Store,OK,35.438882,-95.974421
233,Cleveland Supercenter,TX,30.333624,-95.098051
234,Mexia Supercenter,TX,31.683347,-96.456538
235,Warsaw Supercenter,MO,38.26173,-93.3713094
236,Skiatook Supercenter,OK,36.370696,-96.01132
237,Mineola Supercenter,TX,32.689696,-95.481768
238,Du Quoin Supercenter,IL,37.997658,-89.238137
239,Jerseyville Supercenter,IL,39.103491,-90.318482
240,Olney Supercenter,IL,38.749971,-88.097805
241,Tupelo Supercenter,MS,34.308824,-88.709889
242,Rockwall Supercenter,TX,32.902041,-96.461769
243,Morganfield Supercenter,KY,37.688625,-87.900008
244,Waxahachie Supercenter,TX,32.416996,-96.837937
245,Hot Springs Supercenter,AR,34.454531,-93.060534
246,Glen Carbon Supercenter,IL,38.7753749,-89.952569
247,Benton Supercenter,IL,38.000853,-88.93678
248,Terrell Supercenter,TX,32.739723,-96.306024
249,Grapevine Supercenter,TX,32.930782,-97.1017
250,Savannah Supercenter,TN,35.2239804,-88.2147838
251,Dickson Supercenter,TN,36.0599933,-87.3812037
252,Bowie Supercenter,TX,33.540549,-97.837408
253,Lawton Supercenter,OK,34.618772,-98.42438
254,Franklin Supercenter,TN,35.93902,-86.819155
255,Fulton Supercenter,MS,34.2420797,-88.3972337
256,Webb City Supercenter,MO,37.133514,-94.478384
257,Iuka Store,MS,34.80428,-88.20453
258,Livingston Supercenter,TX,30.716174,-94.954755
259,Stigler Supercenter,OK,35.2523274,-95.1084185
260,Shreveport Supercenter,LA,32.42845,-93.712166
261,Heber Spgs Supercenter,AR,35.507388,-92.032234
262,De Queen Supercenter,AR,34.043471,-94.319058
263,Moore Supercenter,OK,35.322508,-97.493008
264,Rockdale Supercenter,TX,30.642342,-97.03214
265,Franklin Supercenter,KY,36.694977,-86.573045
266,Bridge City Store,TX,30.024796,-93.844527
267,Mansfield Supercenter,TX,32.576044,-97.130022
268,Huntsville Supercenter,TX,30.713817,-95.570575
269,Jasper Supercenter,AL,33.8429292,-87.254431
270,Mcgehee Store,AR,33.604067,-91.381208
271,Woodville Supercenter,TX,30.763779,-94.419491
272,Gonzales Supercenter,TX,29.5164259,-97.4491852
273,Ennis Supercenter,TX,32.333377,-96.620823
274,Lockhart Supercenter,TX,29.85698,-97.665477
275,Navasota Store,TX,30.394988,-96.071724
276,Dardanelle Supercenter,AR,35.2179,-93.166461
277,Central City Supercenter,KY,37.271457,-87.144458
278,Eureka Supercenter,MO,38.50661,-90.656737
279,Porter Supercenter,TX,30.106968,-95.233615
280,Boaz Supercenter,AL,34.214766,-86.153387
281,Bowling Green Supercenter,KY,36.948807,-86.433446
282,Murphysboro Supercenter,IL,37.759516,-89.28315
283,Gadsden Supercenter,AL,34.012769,-85.987031
284,Springfield Supercenter,TN,36.483717,-86.888493
285,Holly Springs Supercenter,MS,34.7466316,-89.459003
286,Arab Supercenter,AL,34.341887,-86.500136
287,West Monroe Supercenter,LA,32.508119,-92.154337
288,Carthage Supercenter,MS,32.7258051,-89.5474174
289,Abbeville Supercenter,LA,29.972971,-92.095051
290,Manchester Supercenter,TN,35.452676,-86.047354
291,Crowley Supercenter,LA,30.233198,-92.36465
292,Jacksonville Supercenter,AL,33.78822,-85.765028
293,Franklin Store,LA,29.814155,-91.51306
294,High Ridge Supercenter,MO,38.462144,-90.521836
295,Fayetteville Supercenter,TN,35.136734,-86.564496
296,Ville Platte Supercenter,LA,30.687254,-92.260969
297,Vandalia Supercenter,IL,38.966414,-89.135519
298,Arkadelphia Supercenter,AR,34.119797,-93.096488
299,Raymore Supercenter,MO,38.809975,-94.495531
300,Attalla Supercenter,AL,33.993612,-86.093629
301,Marlin Store,TX,31.304425,-96.876786
302,Oneonta Supercenter,AL,33.971218,-86.446599
303,Bryan Supercenter,TX,30.6574,-96.330396
304,Mansfield Supercenter,LA,32.052932,-93.68175
305,Brenham Supercenter,TX,30.139992,-96.393143
306,Higginsville Store,MO,39.077943,-93.736752
307,Bristow Supercenter,OK,35.844007,-96.394808
308,Richmond Supercenter,MO,39.263479,-93.963432
309,Jay Store,OK,36.419232,-94.806089
310,Waterloo Supercenter,IL,38.358741,-90.157744
311,Anniston Supercenter,AL,33.720093,-85.820134
312,Huntsville Supercenter,AL,34.747008,-86.675822
313,Victoria Supercenter,TX,28.877997,-96.993928
314,Jackson Supercenter,TN,35.668347,-88.851516
315,Sulphur Supercenter,LA,30.233061,-93.328042
316,Beaver Dam Supercenter,KY,37.429567,-86.880124
317,Carlinville Supercenter,IL,39.267994,-89.894417
318,Sheridan Supercenter,AR,34.291348,-92.397163
319,Lamar Supercenter,MO,37.497069,-94.302316
320,Fredericktown Supercenter,MO,37.5589096,-90.3197291
321,Checotah Supercenter,OK,35.470025,-95.534337
322,Fordyce Store,AR,33.820498,-92.435566
323,Marysville Supercenter,KS,39.843391,-96.605108
324,Hiawatha Supercenter,KS,39.846387,-95.560036
325,Palestine Supercenter,TX,31.736555,-95.616596
326,Monticello Supercenter,AR,33.63588,-91.80475
327,Augusta Supercenter,KS,37.677977,-96.987658
328,York Supercenter,NE,40.82787,-97.593326
329,Indianola Supercenter,MS,33.459493,-90.663215
330,El Campo Supercenter,TX,29.216807,-96.292641
331,Taylorville Supercenter,IL,39.569337,-89.314967
332,Tomball Supercenter,TX,30.134346,-95.550647
333,Chester Store,IL,37.925334,-89.804487
334,Graham Supercenter,TX,33.082267,-98.58074
335,Owensville Supercenter,MO,38.3531394,-91.4818482
336,Opelika Supercenter,AL,32.637874,-85.421882
337,Versailles Supercenter,MO,38.4342477,-92.8588751
338,Auburn Supercenter,AL,32.570858,-85.49657
339,Alma Supercenter,AR,35.479083,-94.22879
340,Collinsville Supercenter,IL,38.674715,-90.017291
341,Fayetteville Supercenter,AR,36.122616,-94.15276
342,Winfield Supercenter,AL,33.9352,-87.840615
343,Marshall Supercenter,MO,39.111569,-93.216447
344,Cushing Supercenter,OK,35.987433,-96.721249
345,Madisonville Supercenter,TN,35.512288,-84.360078
346,Pearl Supercenter,MS,32.286656,-90.046349
347,Center Supercenter,TX,31.80172,-94.194186
348,Parsons Supercenter,KS,37.372299,-95.25583
349,Dodge City Supercenter,KS,37.768588,-100.035792
350,Winfield Supercenter,KS,37.22725,-96.992729
351,Granbury Supercenter,TX,32.432088,-97.780249
352,Wellington Supercenter,KS,37.273436,-97.373226
353,Coweta Supercenter,OK,36.001683,-95.677254
354,Huntsville Supercenter,AR,36.1128042,-93.7159682
355,Bossier City Supercenter,LA,32.548268,-93.706324
356,Sumter Neighborhood Market,SC,33.906164,-80.378092
357,Huntsville Supercenter,AL,34.7030172,-86.5853922
358,Holton Supercenter,KS,39.460818,-95.751037
359,Ozark Supercenter,MO,37.001223,-93.22794
360,Silsbee Supercenter,TX,30.340472,-94.146959
361,Ottawa Supercenter,KS,38.581196,-95.264337
362,Lumberton Supercenter,TX,30.258479,-94.216602
363,Chandler Supercenter,OK,35.711749,-96.842036
364,Cuero Store,TX,29.089432,-97.271237
365,Jennings Supercenter,LA,30.244584,-92.659001
366,Copperas Cove Supercenter,TX,31.118184,-97.870857
367,Fort Smith Supercenter,AR,35.399753,-94.363077
368,Waverly Supercenter,TN,36.084335,-87.832573
369,Weatherford Supercenter,OK,35.524104,-98.690842
370,Jackson Supercenter,TN,35.551073,-88.810955
371,Tupelo Supercenter,MS,34.258167,-88.741172
372,Edmond Supercenter,OK,35.640173,-97.429241
373,Anderson Supercenter,SC,34.554437,-82.6786822
374,Moulton Supercenter,AL,34.4955794,-87.2769413
375,Mission Supercenter,TX,26.193521,-98.2869487
376,Longview Supercenter,TX,32.542098,-94.727504
377,Mcallen Supercenter,TX,26.188376,-98.209872
378,Longview Supercenter,TX,32.531894,-94.78483
379,Conroe Supercenter,TX,30.331402,-95.479103
380,Plaquemine Supercenter,LA,30.263844,-91.254829
381,Russellville Supercenter,AL,34.495318,-87.728925
382,Leesville Supercenter,LA,31.118636,-93.274624
383,San Marcos Supercenter,TX,29.8834396,-97.9121923
384,Smyrna Supercenter,TN,35.970935,-86.495862
385,Killeen Supercenter,TX,31.089533,-97.729372
386,Haleyville Supercenter,AL,34.2405233,-87.5987915
387,Breaux Bridge Supercenter,LA,30.293263,-91.910347
